DatasetID,AnchorsRate,Order,NumSampling,K,Seed,ACC,NMI,Purity,Fscore,P,R,RI,Runtime,Obj_History,alphaA_History
1,10,3,3,10,16,0.747916666666667,0.801921168830035,0.749305555555556,0.687264692215046,0.666979586577576,0.708822378716745,0.670513461459241,0.2837834,[76804.970956 72793.271801 72676.985468 72676.985468],[0.111111 0.027683 0.024943 0.024943;0.111111 0.003712 0.003721 0.003721;0.111111 0.110249 0.110217 0.110217;0.111111 0 0 0;0.111111 0.094841 0.091888 0.091888;0.111111 0.122327 0.122238 0.122238;0.111111 0.24329 0.244885 0.244885;0.111111 0.292947 0.294166 0.294166;0.111111 0.10495 0.107943 0.107943]
1,10,3,3,15,2,0.586805555555556,0.719011174684197,0.619444444444444,0.537466356997325,0.470321510851542,0.626975743348983,0.509828655914773,0.2301177,[81590.794202 76384.880504 76332.213015 76332.213015],[0.111111 0 0 0;0.111111 0 0 0;0.111111 0.145775 0.145247 0.145247;0.111111 0.196359 0.196233 0.196233;0.111111 0 0 0;0.111111 0.004576 0.002563 0.002563;0.111111 0.213928 0.215097 0.215097;0.111111 0.149963 0.152159 0.152159;0.111111 0.2894 0.2887 0.2887]
1,10,3,3,15,4,0.609027777777778,0.739146137228716,0.635416666666667,0.567706792433128,0.511284912698661,0.638125978090767,0.542651106267805,0.2640243,[79849.629361 75018.863005 74975.350409 74975.350409],[0.111111 0.098434 0.097027 0.097027;0.111111 0.053561 0.053105 0.053105;0.111111 0.063084 0.063076 0.063076;0.111111 0 0 0;0.111111 0.012217 0.010297 0.010297;0.111111 0 0 0;0.111111 0.302293 0.304152 0.304152;0.111111 0.200537 0.201722 0.201722;0.111111 0.269874 0.270622 0.270622]
1,10,3,3,15,6,0.595138888888889,0.735056222974693,0.642361111111111,0.556594948550047,0.507042479981992,0.616881846635368,0.531204158164011,0.3115451,[79064.569806 75176.998648 75157.602764 75157.602764],[0.111111 0.084649 0.084177 0.084177;0.111111 0.033854 0.033374 0.033374;0.111111 0.092289 0.092125 0.092125;0.111111 0.138974 0.137954 0.137954;0.111111 0 0 0;0.111111 0 0 0;0.111111 0.17247 0.172665 0.172665;0.111111 0.157076 0.158623 0.158623;0.111111 0.320687 0.321081 0.321081]
1,10,3,3,15,8,0.6375,0.74702937882342,0.658333333333333,0.588247653733016,0.532390973630832,0.657198748043819,0.564506099213907,0.252706,[79167.30672 74694.876198 74645.248589 74645.248589],[0.111111 0.033884 0.03229 0.03229;0.111111 0 0 0;0.111111 0.126122 0.126214 0.126214;0.111111 0.11142 0.110441 0.110441;0.111111 0 0 0;0.111111 0.024722 0.023236 0.023236;0.111111 0.238214 0.239335 0.239335;0.111111 0.300992 0.303029 0.303029;0.111111 0.164646 0.165454 0.165454]
1,10,3,3,15,10,0.667361111111111,0.761574420809057,0.691666666666667,0.617366620569183,0.577085317730303,0.663693270735524,0.59604430277511,0.302154,[81104.57852 75799.816501 75762.557806 75762.557806],[0.111111 0.024906 0.023335 0.023335;0.111111 0.079749 0.079329 0.079329;0.111111 0.069905 0.070339 0.070339;0.111111 0.027519 0.026884 0.026884;0.111111 0.050264 0.049529 0.049529;0.111111 0 0 0;0.111111 0.207528 0.20753 0.20753;0.111111 0.230933 0.231344 0.231344;0.111111 0.309196 0.31171 0.31171]
1,10,3,3,15,12,0.632638888888889,0.750805975998906,0.649305555555556,0.590320197488153,0.547165714667468,0.640864632237872,0.567286325967331,0.2600699,[79766.085171 74648.470001 74583.073264 74583.073264],[0.111111 0.040124 0.038333 0.038333;0.111111 0.076649 0.076647 0.076647;0.111111 0.035631 0.036136 0.036136;0.111111 0.040366 0.03912 0.03912;0.111111 0.020716 0.019995 0.019995;0.111111 0.037725 0.036812 0.036812;0.111111 0.296534 0.298957 0.298957;0.111111 0.230814 0.232486 0.232486;0.111111 0.22144 0.221515 0.221515]
1,10,3,3,15,14,0.615277777777778,0.740501272848271,0.65,0.572208352348483,0.527320106212788,0.625449921752739,0.548008796244529,0.3346082,[80376.699727 74290.682642 74213.094589 74213.087307 74213.087307],[0.111111 0 0 0 0;0.111111 0 0 0 0;0.111111 0.162126 0.161412 0.161442 0.161442;0.111111 0 0 0 0;0.111111 0.043392 0.04096 0.040918 0.040918;0.111111 0.061036 0.05986 0.059833 0.059833;0.111111 0.289116 0.290438 0.290441 0.290441;0.111111 0.216484 0.218838 0.218894 0.218894;0.111111 0.227847 0.228492 0.228472 0.228472]
1,10,3,3,15,16,0.602083333333333,0.743681504246348,0.643055555555556,0.573493284558969,0.529380607144039,0.625625978090767,0.549408611733341,0.2900642,[81895.378209 77627.824821 77551.514176 77551.514176],[0.111111 0.096154 0.095083 0.095083;0.111111 0.047334 0.046891 0.046891;0.111111 0.08869 0.089237 0.089237;0.111111 0.015651 0.014003 0.014003;0.111111 0.031081 0.028353 0.028353;0.111111 0 0 0;0.111111 0.240796 0.243753 0.243753;0.111111 0.173818 0.17537 0.17537;0.111111 0.306476 0.307308 0.307308]
1,10,3,4,5,2,0.763888888888889,0.842490681442094,0.763888888888889,0.702258458725524,0.671219929739465,0.736306729264476,0.686052028172479,0.4899615,[70713.110041 63608.941475 63533.017588 63533.017588],[0.083333 0 0 0;0.083333 0 0 0;0.083333 0.097474 0.096643 0.096643;0.083333 0 0 0;0.083333 0.079709 0.076365 0.076365;0.083333 0 0 0;0.083333 0.065487 0.064472 0.064472;0.083333 0.025363 0.02551 0.02551;0.083333 0 0 0;0.083333 0.291282 0.292441 0.292441;0.083333 0.195289 0.198464 0.198464;0.083333 0.245395 0.246105 0.246105]
1,10,3,4,5,4,0.706944444444444,0.830176602661528,0.731944444444444,0.681913213369487,0.639343981647921,0.730555555555556,0.66424405813422,0.3262213,[69702.736353 65449.722516 65368.283063 65368.283063],[0.083333 0.023211 0.021458 0.021458;0.083333 0 0 0;0.083333 0.050853 0.049806 0.049806;0.083333 0.010525 0.008186 0.008186;0.083333 0.09658 0.097034 0.097034;0.083333 0 0 0;0.083333 0.057972 0.057438 0.057438;0.083333 0.055593 0.055945 0.055945;0.083333 0.111711 0.112375 0.112375;0.083333 0.224476 0.226159 0.226159;0.083333 0.132105 0.133185 0.133185;0.083333 0.236974 0.238414 0.238414]
1,10,3,4,5,6,0.708333333333333,0.795377636841563,0.735416666666667,0.607493127905793,0.536375621741475,0.700352112676056,0.58426090535919,0.2901791,[70526.137518 64927.489569 64865.655174 64865.655174],[0.083333 0 0 0;0.083333 0 0 0;0.083333 0.098515 0.097464 0.097464;0.083333 0.040319 0.039776 0.039776;0.083333 0 0 0;0.083333 0.117443 0.117533 0.117533;0.083333 0 0 0;0.083333 0.031164 0.03117 0.03117;0.083333 0.052068 0.051541 0.051541;0.083333 0.145699 0.146136 0.146136;0.083333 0.223536 0.223846 0.223846;0.083333 0.291256 0.292534 0.292534]
1,10,3,4,5,8,0.659027777777778,0.78501003003502,0.713888888888889,0.594995102266353,0.520088403612254,0.695109546165884,0.570766557700481,0.3229457,[69905.383234 65462.73829 65378.896524 65378.896524],[0.083333 0 0 0;0.083333 0.000345 0 0;0.083333 0.078797 0.07706 0.07706;0.083333 0 0 0;0.083333 0.051265 0.051369 0.051369;0.083333 0.135257 0.134958 0.134958;0.083333 0.005539 0.004785 0.004785;0.083333 0.188698 0.189011 0.189011;0.083333 0 0 0;0.083333 0.108391 0.108995 0.108995;0.083333 0.133313 0.133913 0.133913;0.083333 0.298396 0.299909 0.299909]
1,10,3,4,5,10,0.723611111111111,0.813583388776266,0.734722222222222,0.664335921686969,0.627110400889321,0.706259780907668,0.645823599192415,0.2993076,[70141.148486 63911.980991 63788.610412 63788.610412],[0.083333 0 0 0;0.083333 0.065411 0.063334 0.063334;0.083333 0.027274 0.026761 0.026761;0.083333 0 0 0;0.083333 0 0 0;0.083333 0.054232 0.053603 0.053603;0.083333 0.032064 0.031273 0.031273;0.083333 0 0 0;0.083333 0.216622 0.217028 0.217028;0.083333 0.081077 0.082395 0.082395;0.083333 0.252712 0.254052 0.254052;0.083333 0.270607 0.271554 0.271554]
1,10,3,4,5,12,0.760416666666667,0.84379803422719,0.761111111111111,0.705167116306954,0.676571038251366,0.736287167449139,0.689183297329146,0.3691457,[70373.105993 64685.18325 64582.348812 64582.348812],[0.083333 0 0 0;0.083333 0.00143 0 0;0.083333 0.084938 0.084441 0.084441;0.083333 0.085857 0.084811 0.084811;0.083333 0 0 0;0.083333 0 0 0;0.083333 0 0 0;0.083333 0.128547 0.128053 0.128053;0.083333 0.006868 0.006987 0.006987;0.083333 0.187393 0.188277 0.188277;0.083333 0.190046 0.191248 0.191248;0.083333 0.31492 0.316182 0.316182]
1,10,3,4,5,14,0.7,0.820836691888771,0.711111111111111,0.659545462698883,0.608980092086522,0.719268388106416,0.640325672787521,0.3930276,[70835.756502 65244.770199 65167.091931 65167.091931],[0.083333 0.001894 0.000206 0.000206;0.083333 0 0 0;0.083333 0.154798 0.154214 0.154214;0.083333 0 0 0;0.083333 0 0 0;0.083333 0.070457 0.069725 0.069725;0.083333 0 0 0;0.083333 0 0 0;0.083333 0.043322 0.04351 0.04351;0.083333 0.251577 0.251755 0.251755;0.083333 0.17522 0.17676 0.17676;0.083333 0.302732 0.30383 0.30383]
1,10,3,4,5,16,0.734027777777778,0.817237857325114,0.75,0.64432261742906,0.584050250457184,0.718466353677621,0.623848084937472,0.4157534,[70284.662765 64191.565866 64088.532314 64088.527638 64088.527638],[0.083333 0.018886 0.015216 0.015221 0.015221;0.083333 0.04588 0.045216 0.045206 0.045206;0.083333 0.036236 0.036577 0.036563 0.036563;0.083333 0 0 0 0;0.083333 0 0 0 0;0.083333 0.081977 0.082191 0.082158 0.082158;0.083333 0 0 0 0;0.083333 0.052044 0.051161 0.05118 0.05118;0.083333 0.104755 0.10581 0.105841 0.105841;0.083333 0.100451 0.101197 0.101225 0.101225;0.083333 0.275027 0.276165 0.276092 0.276092;0.083333 0.284744 0.286467 0.286514 0.286514]
1,10,3,4,7,2,0.732638888888889,0.813113372706678,0.74375,0.643717758307042,0.584403772199971,0.716431924882629,0.623241874226028,0.3623505,[71882.159591 64820.744737 64718.574158 64718.574158],[0.083333 0 0 0;0.083333 0.006377 0.0044 0.0044;0.083333 0.109319 0.108763 0.108763;0.083333 0 0 0;0.083333 0 0 0;0.083333 0.035278 0.034 0.034;0.083333 0 0 0;0.083333 0.044775 0.04486 0.04486;0.083333 0.118462 0.118534 0.118534;0.083333 0.194105 0.196002 0.196002;0.083333 0.326937 0.327749 0.327749;0.083333 0.164747 0.165691 0.165691]
1,10,3,4,7,4,0.629861111111111,0.779116287079936,0.659027777777778,0.599760859478174,0.551404475946709,0.65741392801252,0.577063211780815,0.5069488,[71228.113399 64989.805193 64912.635814 64904.659735 64904.657806 64904.657806],[0.083333 0.066076 0.064772 0.064513 0.064495 0.064495;0.083333 0 0 0 0 0;0.083333 0.042187 0.041888 0.041779 0.041766 0.041766;0.083333 0 0 0 0 0;0.083333 0 0 0 0 0;0.083333 0.019552 0.018316 0.017759 0.017788 0.017788;0.083333 0 0 0 0 0;0.083333 0.141135 0.139928 0.140272 0.140321 0.140321;0.083333 0.123162 0.122774 0.123159 0.123147 0.123147;0.083333 0.111833 0.112771 0.113275 0.11319 0.11319;0.083333 0.207091 0.208178 0.207594 0.207531 0.207531;0.083333 0.288964 0.291373 0.291648 0.291763 0.291763]
