AnchorsRate,Order,NumSampling,K,Seed,F_MadeStyle,ACC,NMI,Purity,Fscore,Runtime
10,2,3,7,4,1,0.562534741523068,0.673862661769618,0.587548638132296,0.502388251717625,3.2265106
10,2,3,7,4,2,0.585881045025014,0.691902342392258,0.619788771539744,0.521816163747044,3.2265106
10,2,3,7,6,1,0.563646470261256,0.67303873206199,0.598665925514175,0.504708544413027,3.2815833
10,2,3,7,6,2,0.586992773763202,0.68628332546869,0.62201222901612,0.520135264024972,3.2815833
10,2,3,7,8,1,0.560311284046693,0.665643636675903,0.586436909394108,0.495003701593562,3.2216901
10,2,3,7,8,2,0.583101723179544,0.685337475987496,0.618121178432463,0.517090574687212,3.2216901
10,2,3,7,10,1,0.597554196775987,0.683590800996542,0.60366870483602,0.501717519393874,3.3554396
10,2,3,7,10,2,0.623679822123402,0.692486975165364,0.63757643135075,0.515329352395243,3.3554396
10,2,3,10,0,1,0.562534741523068,0.6525791948167,0.58810450250139,0.491656820678648,3.0048334
10,2,3,10,0,2,0.562534741523068,0.6525791948167,0.58810450250139,0.491656820678648,3.0048334
10,2,3,10,2,1,0.563090605892162,0.658762531666564,0.599777654252362,0.492888257971136,3.2918023
10,2,3,10,2,2,0.579766536964981,0.673738029096717,0.614785992217899,0.496448345350713,3.2918023
10,2,3,10,4,1,0.514174541411895,0.662222163459166,0.571984435797665,0.493001534279023,3.4194178
10,2,3,10,4,2,0.588660366870484,0.693193951788869,0.625347415230684,0.525426710030315,3.4194178
10,2,3,10,6,1,0.563090605892162,0.661091003901689,0.591439688715953,0.495023453482205,3.2913417
10,2,3,10,6,2,0.563090605892162,0.661091003901689,0.591439688715953,0.495023453482205,3.2913417
10,2,3,10,8,1,0.564758198999444,0.670188559765746,0.599221789883268,0.497234576927503,3.3190244
10,2,3,10,8,2,0.564758198999444,0.664630250155589,0.589216231239578,0.495706142781872,3.3190244
10,2,3,10,10,1,0.556976097832129,0.659186885998082,0.588660366870484,0.491468207143517,3.0044652
10,2,3,10,10,2,0.586436909394108,0.676749572735709,0.623123957754308,0.5084706118221,3.0044652
10,2,3,15,0,1,0.556976097832129,0.64582828415767,0.584213451917732,0.487435429907932,3.5239918
10,2,3,15,0,2,0.556976097832129,0.64582828415767,0.584213451917732,0.487435429907932,3.5239918
10,2,3,15,2,1,0.553640911617565,0.654295688083683,0.595330739299611,0.491176470588235,3.1965247
10,2,3,15,2,2,0.580878265703168,0.663646934206146,0.615341856586993,0.501912164680869,3.1965247
10,2,3,15,4,1,0.557531962201223,0.64282448003425,0.589216231239578,0.482520539580326,3.0694407
10,2,3,15,4,2,0.580878265703168,0.656379479023011,0.612562534741523,0.497966012273346,3.0694407
10,2,3,15,6,1,0.529738743746526,0.601512995700531,0.554752640355753,0.411660788572225,3.2703185
10,2,3,15,6,2,0.553085047248471,0.619158912062899,0.581434130072262,0.430387338931239,3.2703185
10,2,3,15,8,1,0.554752640355753,0.644173296441489,0.583101723179544,0.481994115453152,2.9551303
10,2,3,15,8,2,0.583101723179544,0.667630222167259,0.618677042801556,0.506855785393773,2.9551303
10,2,3,15,10,1,0.556976097832129,0.650323336772891,0.586436909394108,0.487539718331193,3.1138414
10,2,3,15,10,2,0.556976097832129,0.654536200193588,0.586436909394108,0.490009406559783,3.1138414
10,2,4,5,0,1,0.56976097832129,0.659623670251289,0.60366870483602,0.464947737904455,3.782976
10,2,4,5,0,2,0.599777654252362,0.683017006930341,0.635908838243469,0.499621998048378,3.782976
10,2,4,5,2,1,0.587548638132296,0.655665652178755,0.601445247359644,0.459018718094158,3.9833322
10,2,4,5,2,2,0.553640911617565,0.679305273280655,0.602001111728738,0.498327712098915,3.9833322
10,2,4,5,4,1,0.541411895497499,0.676149581316605,0.579766536964981,0.490537890780225,3.9959165
10,2,4,5,4,2,0.627015008337966,0.698580640185381,0.663146192329072,0.531504031756221,3.9959165
10,2,4,5,6,1,0.571984435797665,0.708483280676092,0.60644802668149,0.524590050076052,3.7803362
10,2,4,5,6,2,0.577543079488605,0.68266993098683,0.627570872707059,0.489325865689451,3.7803362
10,2,4,5,8,1,0.550305725403002,0.657510186648134,0.584769316286826,0.462505986833662,3.6726187
10,2,4,5,8,2,0.597554196775987,0.699737480017338,0.632573652028905,0.518845354355414,3.6726187
10,2,4,5,10,1,0.581434130072262,0.651515120883084,0.588660366870484,0.471754398960276,8.6499569
10,2,4,5,10,2,0.555308504724847,0.6769119948419,0.62479155086159,0.493756062280533,8.6499569
10,2,4,7,0,1,0.591995553085047,0.669390516209453,0.593663146192329,0.484513610787246,8.7930542
10,2,4,7,0,2,0.589216231239578,0.692941802051998,0.626459143968872,0.514352351446375,8.7930542
10,2,4,7,2,1,0.56698165647582,0.693328868838192,0.605892162312396,0.506629504813845,8.127111
10,2,4,7,2,2,0.56698165647582,0.694885687406824,0.605336297943302,0.515883039330085,8.127111
10,2,4,7,4,1,0.566425792106726,0.686447996983408,0.593663146192329,0.511503099102566,8.4475203
