AnchorsRate,Order,NumSampling,K,Seed,Method,F_MadeStyle,ACC,NMI,Purity,Fscore,Runtime
10,2,2,7,4,3,2,0.571984435797665,0.685462624918945,0.607559755419678,0.505759002558786,1.0680742
10,2,2,7,4,4,1,0.564758198999444,0.641188588544607,0.58532518065592,0.482012076050779,1.0688248
10,2,2,7,4,4,2,0.594774874930517,0.641407259521304,0.595886603668705,0.479250985028988,1.0688248
10,2,2,7,6,1,1,0.53029460811562,0.646296226939023,0.569205113952196,0.461226583470354,1.1261434
10,2,2,7,6,1,2,0.499722067815453,0.628758173942859,0.555864369093941,0.446089247768806,1.1261434
10,2,2,7,6,2,1,0.595886603668705,0.714465085616137,0.635352973874375,0.541811864812291,1.0775118
10,2,2,7,6,2,2,0.531962201222902,0.660669824948382,0.569205113952196,0.46822220121095,1.0775118
10,2,2,7,6,3,1,0.546414674819344,0.657597564396932,0.570872707059477,0.468107584039583,1.1700153
10,2,2,7,6,3,2,0.566425792106726,0.652441025279734,0.56976097832129,0.471624591538706,1.1700153
10,2,2,7,6,4,1,0.593663146192329,0.636798358918806,0.594774874930517,0.47460396617399,1.0650249
10,2,2,7,6,4,2,0.617009449694275,0.656162399730886,0.618121178432463,0.494274438308442,1.0650249
10,2,2,7,8,1,1,0.573652028904947,0.640352547690833,0.573652028904947,0.453395200664843,1.3769914
10,2,2,7,8,1,2,0.536964980544747,0.636985110971535,0.571428571428571,0.457654067117509,1.3769914
10,2,2,7,8,2,1,0.517509727626459,0.659464116116058,0.551973318510284,0.466229147673099,1.0503936
10,2,2,7,8,2,2,0.537520844913841,0.669517338455142,0.551973318510284,0.479338191280785,1.0503936
10,2,2,7,8,3,1,0.562534741523068,0.638137690821381,0.562534741523068,0.443750148899167,1.1039215
10,2,2,7,8,3,2,0.562534741523068,0.638137690821381,0.562534741523068,0.443750148899167,1.1039215
10,2,2,7,8,4,1,0.56142301278488,0.663949600350139,0.598110061145081,0.495827576678641,1.1740265
10,2,2,7,8,4,2,0.56142301278488,0.663949600350139,0.598110061145081,0.495827576678641,1.1740265
10,2,2,7,10,1,1,0.528627015008338,0.640922429126258,0.584769316286826,0.472380201775976,1.2355195
10,2,2,7,10,1,2,0.491384102279044,0.613028290973238,0.565314063368538,0.452742335980378,1.2355195
10,2,2,7,10,2,1,0.557531962201223,0.650789625068826,0.569205113952196,0.458861102657474,1.1148968
10,2,2,7,10,2,2,0.604780433574208,0.679672983908886,0.60644802668149,0.498265034592869,1.1148968
10,2,2,7,10,3,1,0.56420233463035,0.691028981073384,0.60088938299055,0.510011995618991,1.1007223
10,2,2,7,10,3,2,0.599221789883268,0.71066776736508,0.635908838243469,0.537927006893291,1.1007223
10,2,2,7,10,4,1,0.560311284046693,0.659734320505062,0.593107281823235,0.492778969702516,1.0955065
10,2,2,7,10,4,2,0.616453585325181,0.655625411503481,0.617565314063369,0.494613003095975,1.0955065
10,2,2,10,0,1,1,0.529738743746526,0.613510978308311,0.569205113952196,0.449035526670958,1.1738682
10,2,2,10,0,1,2,0.539744302390217,0.613246316627996,0.574763757643135,0.44773017407791,1.1738682
10,2,2,10,0,2,1,0.50639244024458,0.631312400090464,0.547526403557532,0.451249290274938,1.1039397
10,2,2,10,0,2,2,0.50639244024458,0.631312400090464,0.547526403557532,0.451249290274938,1.1039397
10,2,2,10,0,3,1,0.553640911617565,0.663934795186683,0.591995553085047,0.489431005577035,1.1392675
10,2,2,10,0,3,2,0.547526403557532,0.644746653811197,0.568093385214008,0.479438695345939,1.1392675
10,2,2,10,0,4,1,0.560867148415787,0.645520535399489,0.594774874930517,0.486445007483503,1.1124234
10,2,2,10,0,4,2,0.563646470261256,0.638592618452814,0.579210672595887,0.486863835851879,1.1124234
10,2,2,10,2,1,1,0.507504168982768,0.645298517538088,0.578654808226793,0.473783753293207,1.0985796
10,2,2,10,2,1,2,0.501389660922735,0.611918968346163,0.538632573652029,0.432221284511118,1.0985796
10,2,2,10,2,2,1,0.586436909394108,0.680858439889131,0.623679822123402,0.504639349586962,1.1162993
10,2,2,10,2,2,2,0.621456364647026,0.706330017476489,0.65869927737632,0.536317416347145,1.1162993
10,2,2,10,2,3,1,0.56142301278488,0.668104148329134,0.594774874930517,0.492381367000435,1.1367508
10,2,2,10,2,3,2,0.580322401334075,0.654092179227301,0.585881045025014,0.472879798553683,1.1367508
10,2,2,10,2,4,1,0.556976097832129,0.64588521745366,0.584769316286826,0.469441649489907,1.1863005
10,2,2,10,2,4,2,0.618677042801556,0.691198672468114,0.654252362423569,0.554988855152079,1.1863005
10,2,2,10,4,1,1,0.510839355197332,0.630100295905556,0.574763757643135,0.475302534180667,1.0902899
10,2,2,10,4,1,2,0.532518065591996,0.630984405588987,0.579766536964981,0.476751895403282,1.0902899
10,2,2,10,4,2,1,0.506948304613674,0.664181471475787,0.580322401334075,0.487870895603796,1.1225757
10,2,2,10,4,2,2,0.519177320733741,0.669543392144423,0.592551417454141,0.495523774716585,1.1225757
10,2,2,10,4,3,1,0.517509727626459,0.668089389091397,0.580878265703168,0.492830127621706,1.0540312
10,2,2,10,4,3,2,0.53029460811562,0.652948903679213,0.571428571428571,0.472226555593689,1.0540312
10,2,2,10,4,4,1,0.558087826570317,0.640949513227271,0.58254585881045,0.481304893350063,1.1670746
10,2,2,10,4,4,2,0.558087826570317,0.640949513227271,0.58254585881045,0.481304893350063,1.1670746
10,2,2,10,6,1,1,0.507504168982768,0.611103981719378,0.545302946081156,0.430483567019934,1.1339538
10,2,2,10,6,1,2,0.534741523068371,0.607267567704053,0.536409116175653,0.427780685366893,1.1339538
10,2,2,10,6,2,1,0.533073929961089,0.671827908136959,0.590883824346859,0.49758489955071,1.0190664
10,2,2,10,6,2,2,0.524180100055586,0.673065036451578,0.58254585881045,0.497783203321506,1.0190664
10,2,2,10,6,3,1,0.510283490828238,0.621449813536726,0.546414674819344,0.434016334237058,1.1965607
10,2,2,10,6,3,2,0.513062812673708,0.630727354325305,0.549193996664814,0.447391462338426,1.1965607
